titles,authors,years,ncitedby,linkfiles
Twitter as public salience: An agenda-setting analysis,C Vargo,2011,34,https://chrisjvargo.com/wp-content/uploads/2014/11/Twitter-As-Public-Salience.pdf
On the impact of Twitter-based health campaigns: A cross-country analysis of Movember,"ND Prasetyo, C Hauff, D Nguyen…",2015,19,https://aclanthology.org/W15-2607.pdf
Aspect-based sentiment analysis for polarity estimation of customer reviews on Twitter,"A Banjar, Z Ahmed, A Daud, RA Abbasi…",2021,9,https://www.academia.edu/download/73443165/pdf.pdf
Digital diplomacy via social networks: A cross-national analysis of governmental usage of Facebook and Twitter for digital engagement,M Ittefaq,2019,40,https://www.koreascience.or.kr/article/JAKO201920461984590.pdf
Twitter sentiment analysis on 2013 curriculum using ensemble features and k-nearest neighbor,"MR Irfan, MA Fauzi, T Tibyani…",2018,14,https://www.researchgate.net/profile/Tibyani-Tibyani/publication/329537574_Twitter_sentiment_analysis_on_2013_curriculum_using_ensemble_features_and_k-nearest_neighbor/links/5c94507192851cf0ae8eb3f0/Twitter-sentiment-analysis-on-2013-curriculum-using-ensemble-features-and-k-nearest-neighbor.pdf
Tweets in the Peak: Twitter Analysis-the impact of Covid-19 on cultural landscapes,M Tenzer,2022,85,https://intarch.ac.uk/journal/issue59/6/ia.59.6.pdf
Sentiment analysis of nepali covid19 tweets using nb svm and lstm,M Tripathi,2021,13,https://www.academia.edu/download/69317501/Sentiment_Analysis_of_Nepali_COVID19_Tweets_Using_NB_SVM_AND_LSTM.pdf
Why so emotional? An analysis of emotional bot-generated content on Twitter,"E Kušen, M Strembeck",2018,23,https://www.researchgate.net/profile/Ema-Kusen/publication/324013921_Why_so_Emotional_An_Analysis_of_Emotional_Bot-generated_Content_on_Twitter/links/5ab8fa3caca2722b97d03e7e/Why-so-Emotional-An-Analysis-of-Emotional-Bot-generated-Content-on-Twitter.pdf
Cis-positive: A combination of convolutional neural networks and support vector machines for sentiment analysis in twitter,"S Ebert, NT Vu, H Schütze",2015,135,https://aclanthology.org/S15-2088.pdf
Tweester at SemEval-2016 Task 4: Sentiment analysis in Twitter using semantic-affective model adaptation,"E Palogiannidi, A Kolovou…",2016,NA,https://aclanthology.org/S16-1023.pdf
Extracting social events based on timeline and sentiment analysis in twitter corpus,"B Tsolmon, AR Kwon, KS Lee",2012,28,https://www.researchgate.net/profile/Kakali-Kanjilal/publication/272981961_Knowledge_Discovery_and_Twitter_Sentiment_Analysis_Mining_Public_Opinion_and_Studying_its_Correlation_with_Popularity_of_Indian_Movies/links/5e84d90d299bf130797085b8/Knowledge-Discovery-and-Twitter-Sentiment-Analysis-Mining-Public-Opinion-and-Studying-its-Correlation-with-Popularity-of-Indian-Movies.pdf
Twitter bursts: Analysis of their occurrences and classifications,"Y Mizunuma, S Yamamoto, Y Yamaguchi…",2014,28,http://yuhiro.sakura.ne.jp/file/ICDS2014_mizunuma.pdf
Sentiment Analysis Twitter dengan Kombinasi Lexicon Based dan Double Propagation,"GA Buntoro, TB Adji…",2014,68,https://www.researchgate.net/profile/Hanifah-Rahmi-Fajrin-2/publication/332289602_ISI_Proceedings_CITEE_2014/links/5cac160c92851c64bd59eb8d/ISI-Proceedings-CITEE-2014.pdf#page=47
Electronic word-of-mouth on microblogs: A cross-cultural content analysis of Twitter and Weibo.,L Ma,2013,51,https://www-s3-live.kent.edu/s3fs-root/s3fs-public/file/Ma.pdf
Sentiment analysis through twitter as a mechanism for assessing university satisfaction,"O Chamorro-Atalaya, D Arce-Santillan…",2022,3,https://www.researchgate.net/profile/Miguel-Levano-Stella/publication/363663621_Sentiment_analysis_through_twitter_as_a_mechanism_for_assessing_university_satisfaction/links/6328e562873eca0c009cc93f/Sentiment-analysis-through-twitter-as-a-mechanism-for-assessing-university-satisfaction.pdf
Mapping moods: Geo-mapped sentiment analysis during hurricane sandy.,"C Caragea, AC Squicciarini, S Stehle, K Neppalli…",2014,181,https://idl.iscram.org/files/caragea/2014/372_Caragea_etal2014.pdf
Finki at semeval-2016 task 4: Deep learning architecture for twitter sentiment analysis,"D Stojanovski, G Strezoski, G Madjarov…",2016,38,https://aclanthology.org/S16-1022.pdf
Separating fact from fear: Tracking flu infections on twitter,"A Lamb, M Paul, M Dredze",2013,372,https://aclanthology.org/N13-1097.pdf
Twitter user gender inference using combined analysis of text and image processing,"S Sakaki, Y Miura, X Ma, K Hattori…",2014,36,https://aclanthology.org/W14-5408.pdf
Application and analysis of a multi-layered scheme for irony on the Italian Twitter Corpus TWITTIRÒ,"AT Cignarella, C Bosco, V Patti…",2018,22,https://aclanthology.org/L18-1664.pdf
Unitn: Training deep convolutional neural network for twitter sentiment classification,"A Severyn, A Moschitti",2015,263,https://aclanthology.org/S15-2079.pdf
Early public outlook on the coronavirus disease (COVID-19): a social media study,"GR Bojja, M Ofori, J Liu, LS Ambati",2020,58,https://core.ac.uk/download/pdf/326836346.pdf
Customer intentions analysis of twitter based on semantic patterns,"M Hamroun, MS Gouider, LB Said",2015,8,http://sentic.net/wisdom2015hamroun.pdf
Target-dependent twitter sentiment classification with rich automatic features,"DT Vo, Y Zhang",2015,368,https://frcchang.github.io/pub/ijcai15.tin.pdf
NILC_USP: An improved hybrid system for sentiment analysis in twitter messages,"P Balage Filho, L Avanço, T Pardo…",2014,13,https://aclanthology.org/S14-2074.pdf
How jokowi communicates with the public during covid-19 crisis: An analysis of tweets on twitter,K Prayoga,2020,31,https://www.researchgate.net/profile/Kadhung-Prayoga/publication/342587665_How_Jokowi_Communicates_with_the_Public_During_Covid-19_Crisis_An_Analysis_of_Tweets_on_Twitter/links/5efe8564299bf18816fcd1bd/How-Jokowi-Communicates-with-the-Public-During-Covid-19-Crisis-An-Analysis-of-Tweets-on-Twitter.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail
Analyzing and visualizing Twitter conversations,"CAG Gutierrez, A Whittaker, KM Patenio…",2021,1,https://ai4society.ca/wp-content/uploads/2022/02/Analyzing-and-Visualizing-Twitter-Conversations.pdf
LSACoNet: A Combination of Lexical and Conceptual Features for Analysis of Fake News Spreaders on Twitter.,"HB Giglou, J Razmara, M Rahgouy, M Sanaei",2020,10,https://ceur-ws.org/Vol-2696/paper_124.pdf
Shoveling tweets: An analysis of the microblogging engagement of traditional news organizations,"M Messner, M Linke, A Eford",2012,206,https://isoj.org/wp-content/uploads/2016/10/ISOJ_Journal_V2_N1_2012_Spring.pdf#page=74
Analyzing the dynamic evolution of hashtags on twitter: a language-based approach,"E Cunha, G Magno, G Comarela…",2011,201,https://aclanthology.org/W11-0708.pdf
Sentiment Analysis on Twitter for the Major German Parties during the 2021 German Federal Election,"T Schmidt, J Fehle, M Weissenbacher…",2022,2,https://aclanthology.org/2022.konvens-1.9.pdf
Sentiment Analysis Methodology of Twitter Data with an application on Hajj season,M Elgamal,2016,14,https://www.academia.edu/download/41797669/IJOER-JAN-2016-22.pdf
Sentiment analysis csam model to discover pertinent conversations in twitter microblogs,"I Fadhli, L Hlaoua, MN Omri",2022,2,https://www.mecs-press.org/ijcnis/ijcnis-v14-n5/IJCNIS-V14-N5-3.pdf
Twitter as a learning community in higher education,"MC Ricoy, T Feliz",2016,128,https://www.researchgate.net/profile/Ahmet-Guneyli/publication/297765074_Social_networking_as_a_tool_for_lifelong_learning_with_orthopedically_impaired_learners/links/5eb2d18892851cbf7fa9bba2/Social-networking-as-a-tool-for-lifelong-learning-with-orthopedically-impaired-learners.pdf#page=242
Building a custom sentiment analysis tool based on an ontology for Twitter posts,"KV Ruba, D Venkatesan",2015,11,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-13/Article16.pdf
Legitimizing# Blockchain: An Empirical Analysis of Firm-Level Social Media Messaging on Twitter.,"T Lynn, P Rosati, G Fox",2018,18,https://www.researchgate.net/profile/Pierangelo-Rosati/publication/326059037_Legitimizing_Blockchain_An_Empirical_Analysis_of_Firm-Level_Social_Media_Messaging_on_Twitter/links/5b35da44aca2720785f49965/Legitimizing-Blockchain-An-Empirical-Analysis-of-Firm-Level-Social-Media-Messaging-on-Twitter.pdf
Automatic Crime Prediction Using Events Extracted from Twitter Posts.,"X Wang, MS Gerber, DE Brown",2012,449,https://www.researchgate.net/profile/Matthew-Gerber/publication/262007007_Automatic_Crime_Prediction_Using_Events_Extracted_from_Twitter_Posts/links/5866632d08ae8fce490f13a3/Automatic-Crime-Prediction-Using-Events-Extracted-from-Twitter-Posts.pdf
Twitter Spam Account Detection by Effective Labeling.,"F Concone, GL Re, M Morana, C Ruocco",2019,19,https://sites.unipa.it/networks/ndslab/pdf/0175.pdf
DsUniPi: An SVM-based approach for sentiment analysis of figurative language on Twitter,"M Karanasou, C Doulkeridis…",2015,14,https://aclanthology.org/S15-2120.pdf
Deep convolutional neural networks for sentiment analysis of short texts,"C Dos Santos, M Gatti",2014,1624,https://aclanthology.org/C14-1008.pdf
Twitter sentiment analysis based on writing style,"H Maeda, K Shimada, T Endo",2012,9,https://www.lincolninst.edu/sites/default/files/pubfiles/3607_2954_Hollander%20WP15JH1.pdf
Understanding the language of ISIS: An empirical approach to detect radical content on twitter using machine learning,"ZU Rehman, S Abbas, MA Khan, G Mustafa…",2021,27,https://www.academia.edu/download/74535892/pdf.pdf
Sentiment mining of Malay newspaper (SAMNews) using artificial immune system,"M Puteh, N Isa, S Puteh, NA Redzuan",2013,22,https://www.academia.edu/download/78114125/WCE2013_pp1498-1503.pdf
VISUALIZATION AND ANALYSIS OF CELLULAR & TWITTER DATA USING QGIS.,"B Sowkhya, S Amaduzzi, D Raawal",2018,12,https://air.uniud.it/retrieve/handle/11390/1131479/266878/isprs-archives-XLII-4-W8-199-2018.pdf
Evaluating distant supervision for subjectivity and sentiment analysis on Arabic twitter feeds,"E Refaee, V Rieser",2014,16,https://aclanthology.org/W14-3624.pdf
Social media use in a mobile broadband environment: Examination of determinants of Twitter and Facebook use,"S Lee, M Cho",2011,101,https://www.researchgate.net/profile/Moonhee-Cho/publication/264933504_Social_media_use_in_a_mobile_broadband_environment_Examination_of_determinants_of_Twitter_and_Facebook_use/links/566c4ee808ae62b05f0868d4/Social-media-use-in-a-mobile-broadband-environment-Examination-of-determinants-of-Twitter-and-Facebook-use.pdf
The use of memes in the discourse of political parties on Twitter: analysing the 2015 state of the nation debate,"X Martínez-Rolán, T Piñeiro-Otero",2016,67,https://www.researchgate.net/profile/Teresa-Pineiro-Otero/publication/291975073_The_use_of_memes_in_the_discourse_of_political_parties_on_Twitter_Analysing_the_2015_state_of_the_nation_debate/links/56a87ffa08ae860e02567f9a/The-use-of-memes-in-the-discourse-of-political-parties-on-Twitter-Analysing-the-2015-state-of-the-nation-debate.pdf
How much is too much? Privacy issues on Twitter,"L Humphreys, P Gill, B Krishnamurthy",2010,102,https://www.academia.edu/download/3443912/ica10.pdf
Twitter use at a family medicine conference,"R Mishori, B Levy, B Donvan",2014,50,https://www.researchgate.net/profile/Brendan-Levy/publication/265094633_Twitter_Use_at_a_Family_Medicine_Conference_Analyzing_STFM13/links/5407958e0cf23d9765aca11b/Twitter-Use-at-a-Family-Medicine-Conference-Analyzing-STFM13.pdf
Inesc-id: A regression model for large scale twitter sentiment lexicon induction,"S Amir, RF Astudillo, W Ling, B Martins…",2015,52,https://aclanthology.org/S15-2102.pdf
Understanding how Twitter is used to spread scientific messages,"J Letierce, A Passant, J Breslin, S Decker",2010,273,https://www.academia.edu/download/32591656/websci10_submission_79.pdf
Twitter Sentiment Analysis for the Recent Trend Extracted from the Newspaper Article,"GH Lee, KJ Lee",2013,18,https://www.koreascience.or.kr/article/JAKO201333651337995.pdf
A graph neural network for fuzzy Twitter graphs.,"G Drakopoulos, E Kafeza, P Mylonas…",2021,16,https://www.researchgate.net/profile/Georgios-Drakopoulos/publication/357392173_A_Graph_Neural_Network_For_Fuzzy_Twitter_Graphs/links/61cbc1c2d45006081674faaa/A-Graph-Neural-Network-For-Fuzzy-Twitter-Graphs.pdf
Effects of corporate online communication on attitude and trust: Experimental analysis of Twitter messages,"JY Kim, JK Hammick",2017,13,https://m.lunyim.com/prjournal/wp-content/uploads/Twitter-Messaging-2-2.pdf
Twitter as a way for celebrities to communicate with fans: Implications for the study of parasocial interaction.,"GS Stever, K Lawson",2013,343,https://www.academia.edu/download/83913114/Twitter_as_a_Way_for_Celebrities_to_Comm20220411-4319-1f4cs20.pdf
[LVIC-LIMSI]: Using Syntactic Features and Multi-polarity Words for Sentiment Analysis in Twitter,"M Marchand, AL Ginsca, R Besançon…",2013,18,https://aclanthology.org/S13-2069.pdf
Automatic Extraction of Soccer Game Events from Twitter.,"G Van Oorschot, M Van Erp, C Dijkshoorn",2012,50,http://ceur-ws.org/Vol-902/paper_3.pdf
New Ensemble Approach to Analyze User Sentiments from Social Media Twitter Data,"E Prabhakar, K Sugashini",2018,9,https://www.researchgate.net/profile/Prabhakar-Eswaran/publication/341070697_New_Ensemble_Approach_to_Analyze_User_Sentiments_from_Social_Media_Twitter_Data/links/5eabc8c3299bf18b958a8b0c/New-Ensemble-Approach-to-Analyze-User-Sentiments-from-Social-Media-Twitter-Data.pdf
Asvuniofleipzig: Sentiment analysis in twitter using data-driven machine learning techniques,R Remus,2013,11,https://aclanthology.org/S13-2074.pdf
Twitter Analysis of IPL cricket match using GICA method,"A Ramaseshan, J Pereira, S Tirunagari",2012,1,https://www.academia.edu/download/43045581/Twitter_Analysis_of_IPL_cricket_match_us20160225-4308-1ignxug.pdf
ECNU: Multi-level Sentiment Analysis on Twitter Using Traditional Linguistic Features and Word Embedding Features.,"Z Zhang, G Wu, M Lan",2015,19,https://aclanthology.org/S15-2.pdf#page=603
SeNTU: sentiment analysis of tweets by combining a rule-based classifier with supervised learning,"P Chikersal, S Poria, E Cambria",2015,146,https://aclanthology.org/S15-2108.pdf
Digital activism as nexus analysis: A sociolinguistic example from Arabic Twitter,N Al Zidjaly,2019,13,https://www.tilburguniversity.edu/sites/default/files/download/TPCS_221-Al%20Zidjaly_2.pdf
Sentiment Analysis of Breast Cancer Screening in the United States using Twitter.,"KO Wong, FG Davis, OR Zaïane, Y Yasui, J Dietz…",2016,12,http://webdocs.cs.ualberta.ca/~zaiane/postscript/KDIR2016.pdf
Iitb-sentiment-analysts: Participation in sentiment analysis in twitter semeval 2013 task,"K Chawla, A Ramteke…",2013,NA,https://aclanthology.org/S13-2082.pdf
The Moncloa in Twitter: a quantitative analysis in the post-COVID era,"M Pulido-Polo, MDMS González…",2023,3,https://www.researchgate.net/profile/Jose-Vazquez-Gonzalez-3/publication/367167692_The_Moncloa_in_Twitter_a_quantitative_analysis_in_the_post-COVID_era/links/63c52543e922c50e999c6d77/The-Moncloa-in-Twitter-a-quantitative-analysis-in-the-post-COVID-era.pdf
Social media text mining and network analysis for decision support in natural crisis management.,"A Zielinski, SE Middleton, LN Tokarchuk, X Wang",2013,1,http://www.eecs.qmul.ac.uk/~laurissa/Laurissas_Pages/Publications_files/ZielinskietAl_ISCRAM2013.pdf
Twitter Sentiment Detection via Ensemble Classification Using Averaged Confidence Scores.,"M Hagen, M Potthast, M Büchner, B Stein",2015,46,https://webis.de/downloads/publications/papers/hagen_2015a.pdf
Sinai: Voting system for twitter sentiment analysis,"E Martinez-Cámara, SM Jiménez-Zafra…",2014,NA,https://aclanthology.org/S14-2100.pdf
Emotion analysis using self-training on Malaysian code-mixed Twitter data,"KSN Tan, TM Lim, YM Lim",2020,4,https://www.elearning-conf.org/wp-content/uploads/2020/07/01_202008L022_F048.pdf
Arasenti: large-scale twitter-specific Arabic sentiment lexicons,"N Al-Twairesh, H Al-Khalifa…",2016,71,https://aclanthology.org/P16-1066.pdf
Towards a More Systematic Analysis of Twitter Data: A Framework for the Analysis of Twitter Communities.,"A Antelmi, J Griffith, K Young",2018,2,http://aics2018.scss.tcd.ie/papers/aics_28.pdf
Sentiments and opinions from twitter about peruvian touristic places using correspondence analysis,"L Cajachahua, I Burga",2017,7,http://ceur-ws.org/Vol-2029/paper17.pdf
Election Result Prediction Using Twitter Analysis,"A Rao, V Kanade, C Motarwar…",2017,1,https://www.academia.edu/download/91237964/IRJET_V9I5555.pdf
How social media works in destination marketing? A content analysis on Twitter,"A Yayli, M Bayram, Ü Bayram",2011,21,http://archives.marketing-trends-congress.com/2011/Materiali/Paper/Internet/Yayli_Bayram_Bayram.pdf
Sarcasm detection on Twitter data using support vector machine,"A Garg, N Duhan",2020,7,https://ictactjournals.in/paper/IJSC_Vol_10_Iss_4_Paper_7_2165_2170.pdf
Kelabteam: A statistical approach on figurative language sentiment analysis in twitter,"HL Nguyen, TD Nguyen, D Hwang…",2015,10,https://aclanthology.org/S15-2114.pdf
Real-time twitter data analysis of Saudi telecom companies for enhanced customer relationship management,S Khatoon,2017,8,https://www.researchgate.net/profile/Shaheen-Khatoon/publication/314952888_Real-time_Twitter_Data_Analysis_of_Saudi_Telecom_Companies_for_Enhanced_Customer_Relationship_Management/links/58c7de37458515478dd1d795/Real-time-Twitter-Data-Analysis-of-Saudi-Telecom-Companies-for-Enhanced-Customer-Relationship-Management.pdf
Emotion Categorization Using Twitter,"R Welekar, A Karandikar, S Tirpude",2020,1,https://www.academia.edu/download/63903821/ijatcse3293202020200712-60870-1ygcj1b.pdf
The Narrative And Collectivity Of The Deradicalization Movement Regarding Terror Actions In Indonesia: A Twitter Analysis,"T Baharuddin, RM Widayat, Z Qodir…",2021,4,https://www.researchgate.net/profile/Tawakkal-Baharuddin/publication/362279599_The_Narrative_And_Collectivity_Of_The_Deradicalization_Movement_Regarding_Terror_Actions_In_Indonesia_A_Twitter_Analysis/links/62e101a64246456b55ed792a/The-Narrative-And-Collectivity-Of-The-Deradicalization-Movement-Regarding-Terror-Actions-In-Indonesia-A-Twitter-Analysis.pdf
uOttawa: system description for SemEval 2013 task 2 sentiment analysis in twitter,"H Poursepanj, J Weissbock…",2013,NA,https://aclanthology.org/S13-2062.pdf
A demographic analysis of online sentiment during hurricane irene,"B Mandel, A Culotta, J Boulahanis, D Stark…",2012,207,https://aclanthology.org/W12-2104.pdf
UPF-taln: SemEval 2015 tasks 10 and 11. Sentiment analysis of literal and figurative language in Twitter,"F Barbieri, F Ronzano, H Saggion",2015,18,https://aclanthology.org/S15-2119.pdf
Métodos para análise de sentimentos no twitter,"M Araújo, P Gonçalves…",2013,48,http://homepages.dcc.ufmg.br/~fabricio/download/webmedia13.pdf
Mining Opinions About Traffic Status Using Twitter Messages,"K Boopalan, C Nalini, A Rajesh",2017,2,https://www.academia.edu/download/52627957/IJCIET_08_02_024.pdf
Following the Public Discourse of Marine Plastic Pollution: A Twitter Analysis,P van Beukering,2020,15,https://www.claim-h2020project.eu/wp-content/uploads/2022/04/Charlotte_Smoor_Final.pdf
aueb. twitter. sentiment at SemEval-2016 Task 4: A weighted ensemble of SVMs for Twitter sentiment analysis,"S Giorgis, A Rousas, J Pavlopoulos…",2016,NA,https://aclanthology.org/S16-1012.pdf
COVID-19 case prediction using emotion trends via Twitter emoji analysis: A case study in Japan,"V Tran, T Matsui",2023,NA,https://www.scienceopen.com/document_file/29109a8c-b4af-4504-99ce-447f68e492bb/PubMedCentral/29109a8c-b4af-4504-99ce-447f68e492bb.pdf
Retweetability Analysis and Prediction during Hurricane Sandy.,"VK Neppalli, MC Medeiros, C Caragea, D Caragea…",2016,26,https://people.cs.ksu.edu/~ccaragea/papers/iscram16b.pdf
Detection of Real-Time Traffic through Twitter Stream Analysis,"MV Bhosale, AA Vankudre",2017,3,http://irjaes.com/wp-content/uploads/2020/10/IRJAES-V2N2P116Y17.pdf
A genetic programming approach to sentiment analysis for Twitter: TASS'17,"D Moctezuma, M Graff, S Miranda-Jiménez…",2017,8,https://www.researchgate.net/profile/Jose-Ortiz-Bejar/publication/320131175_A_genetic_programming_approach_to_sentiment_analysis_for_twitter_Tass'_17/links/59cfd4e10f7e9b4fd7f4782a/A-genetic-programming-approach-to-sentiment-analysis-for-twitter-Tass-17.pdf
Towards real-time measurement of public epidemic awareness: Monitoring influenza awareness through twitter,"M Smith, DA Broniatowski, MJ Paul…",2016,44,https://www.cs.jhu.edu/~mdredze/publications/2016_ossm.pdf
A Cross-Sectional and Temporal Analysis of Information Consumption on Twitter,"S Velichety, S Ram",2013,7,https://core.ac.uk/download/pdf/301361258.pdf
Deep Context-Aware Embedding for Abusive and Hate Speech detection on Twitter.,"U Naseem, I Razzak, IA Hameed",2019,34,https://www.researchgate.net/profile/Meena-Santhanagopalan/publication/338035973_Towards_Machine_Learning_approach_for_Digital-Health_intervention_program/links/5dfaffe9299bf10bc3663cf5/Towards-Machine-Learning-approach-for-Digital-Health-intervention-program.pdf#page=73
Identifying sarcasm in twitter: a closer look,"R González-Ibánez, S Muresan…",2011,766,https://aclanthology.org/P11-2102.pdf
Ensemble method for indonesian twitter hate speech detection,"MA Fauzi, A Yuniarti",2018,57,https://www.researchgate.net/profile/Muhammad-Fauzi-6/publication/325414504_Ensemble_Method_for_Indonesian_Twitter_Hate_Speech_Detection/links/5b55565b0f7e9b240ffd71a9/Ensemble-Method-for-Indonesian-Twitter-Hate-Speech-Detection.pdf
Exploring demographic language variations to improve multilingual sentiment analysis in social media,"S Volkova, T Wilson, D Yarowsky",2013,180,https://aclanthology.org/D13-1187.pdf
"Experiments with DBpedia, WordNet and SentiWordNet as resources for sentiment analysis in micro-blogging","H Hamdan, F Béchet, P Bellot",2013,61,https://aclanthology.org/S13-2075.pdf
Profiling Hate Speech Spreaders on Twitter: Exploiting textual analysis of tweets and combinations of multiple textual representations,"CMV de Andrade, MA Gonçalves",2021,5,https://ceur-ws.org/Vol-2936/paper-195.pdf
Tools and techniques for lexicon driven sentiment analysis: a review,"M Ahmad, S Aftab, SS Muhammad, U Waheed",2017,26,http://www.ijmse.org/Volume8/Issue1/paper4.pdf
Fbk: Sentiment analysis in twitter with tweetsted,"MFM Chowdhury, M Guerini, S Tonelli…",2013,10,https://aclanthology.org/S13-2077.pdf
